x_m,y_m,w_tr_right_m,w_tr_left_m,ideal_speed,ideal_x,ideal_y
38.832821,398.991333,5.679,5.411,342.0,36.24532314060929,399.74728305064286
39.292971,403.967679,5.662,5.396,342.09679747686414,36.63816146483188,404.2440281870107
39.751344,408.944174,5.646,5.382,342.246758065013,37.04501158057734,408.8714951853796
40.207979,413.920817,5.63,5.367,342.39671865316194,37.45186169632281,413.49896218374846
40.662916,418.897603,5.613,5.353,342.5466792413108,37.858711812068265,418.12642918211736
41.116192,423.874532,5.597,5.338,342.69660373377906,38.28091226654837,422.95069975359047
41.567847,428.851599,5.58,5.324,342.8465061607333,38.71249647854441,427.89527757301414
42.01792,433.828802,5.564,5.309,342.99640858768754,39.144080690540406,432.8398553924378
42.466449,438.806138,5.547,5.295,343.0,39.58693253715438,437.9559494497604
42.913473,443.783605,5.531,5.28,343.0,40.030060963913726,443.0762536175116
43.359032,448.761199,5.514,5.266,343.0,40.47318939067307,448.19655778526294
43.803162,453.738918,5.498,5.251,343.0,40.916317817432414,453.31686195301415
44.245905,458.716759,5.482,5.237,343.04101581257135,41.349708303486906,458.33968127671574
44.687298,463.69472,5.465,5.222,343.2148320871528,41.7515694123681,463.0468654461398
45.127379,468.672797,5.449,5.208,343.475442720776,42.32922991022926,469.850855044142
45.566189,473.650988,5.432,5.193,343.6490653204364,42.688312398951325,474.1209333880574
46.003766,478.62929,5.416,5.179,343.8226879200968,43.047394887673406,478.39101173197275
46.440148,483.6077,5.399,5.164,344.0,43.559111210511546,484.5041828473885
46.875374,488.586216,5.383,5.15,344.0,43.861990231359,488.16445147755496
47.309484,493.564834,5.359,5.137,344.0,44.31630876263017,493.65485442280465
47.742515,498.543553,5.317,5.13,344.0856984743468,44.731338957306804,498.62329243381873
48.174507,503.522368,5.275,5.122,344.346764273076,45.21741177645852,504.35375246694787
48.605499,508.501278,5.233,5.114,344.60757241171666,45.59991643305408,508.6750505450166
49.035529,513.480279,5.19,5.106,344.933493908007,46.04240294778218,513.5916920565905
49.464636,518.45937,5.148,5.098,345.0,46.47325113843844,518.4659336446833
49.892859,523.438546,5.106,5.09,345.0,46.98931802182972,524.3318680614359
50.320236,528.417806,5.064,5.082,345.0,47.33336261075722,528.2424910059376
50.746808,533.397146,5.021,5.075,345.0,47.78985278804038,533.5003269538531
51.172611,538.376564,4.979,5.067,345.0,48.08891591941352,536.9777174151664
51.597686,543.356057,4.937,5.059,345.0627976237289,48.68768129891342,543.9462752659349
52.02207,548.335622,4.91,5.058,345.19370176120685,48.988076694509544,547.4523842804105
52.445803,553.315256,4.896,5.063,345.45551003616265,49.58886748570181,554.4646023093617
52.868924,558.294958,4.883,5.067,345.58640105535125,49.86928032630031,557.7369624337897
53.291471,563.274723,4.876,5.055,345.84808052823973,50.273872182207356,562.4541144235448
53.713483,568.254549,4.868,5.043,346.0,50.75422600881217,568.0575869975355
54.134999,573.234433,4.861,5.03,346.0,51.1865532088766,573.1034057880337
54.556058,578.214373,4.853,5.018,346.0,51.61888040894101,578.1492245785319
54.976698,583.194366,4.845,5.006,346.0428534848174,52.0493409421576,583.2166010245921
55.396959,588.174409,4.838,4.993,346.25034850209045,52.40716813212735,587.405438172194
55.816878,593.154499,4.83,4.981,346.5615910280001,52.943908917082,593.6886938935966
56.236496,598.134634,4.823,4.969,346.7690860452732,53.30173610705175,597.8775310411983
56.65585,603.114811,4.815,4.956,347.0,53.83776089368155,604.0218961488546
57.07498,608.095026,4.808,4.944,347.0,54.189852249036775,607.9885559958434
57.493924,613.075277,4.8,4.932,347.0,54.717989282069624,613.9385457663265
57.912721,618.055562,4.792,4.919,347.0,55.07008063742485,617.9052056133153
58.33141,623.035878,4.785,4.907,347.0,55.59241590932152,623.8388609391031
58.75003,628.016221,4.777,4.895,347.089224137931,55.93836034650546,627.8144564307344
59.168619,632.996589,4.77,4.882,347.3108990147784,56.455565230656006,633.7988646693972
59.587216,637.97698,4.762,4.87,347.4586822660099,56.80036848675637,637.788470161839
60.005861,642.95739,4.755,4.858,347.68035714285713,57.31757337090691,643.7728784005018
60.424591,647.937817,4.747,4.846,347.8281403940887,57.662376627007276,647.7624838929436
60.843446,652.918258,4.739,4.833,347.94176221734085,58.179401787735486,653.7587035733129
61.262465,657.898711,4.732,4.821,347.76883686434945,58.51939658455733,657.7630867358814
61.681686,662.879171,4.724,4.809,347.50944883486227,59.02938877979011,663.7696614797342
62.101148,667.859638,4.717,4.796,347.33652348187087,59.36938357661198,667.7740446423027
62.52089,672.840107,4.709,4.784,347.07713545238374,59.879375771844764,673.7806193861554
62.94095,677.820576,4.702,4.772,347.0572118528159,60.20512290460185,677.7405710715637
63.361368,682.801043,4.694,4.759,347.2121875263577,60.69568130412557,683.7653924856828
63.782182,687.781504,4.686,4.747,347.3155046420524,61.022720237141385,687.7819400950955
64.203432,692.761957,4.679,4.735,347.418646413398,61.521415014761644,693.652021380811
64.625155,697.742399,4.671,4.722,347.470211710257,61.776233652348964,696.646140372462
65.047391,702.722828,4.664,4.71,347.573342303975,62.28587092752359,702.6343783557638
65.470178,707.70324,4.656,4.698,347.676472897693,62.79550820269823,708.6226163390658
65.893556,712.683632,4.649,4.685,347.728038194552,63.050326840285535,711.6167353307166
66.317563,717.664003,4.641,4.673,347.83116878827,63.55996411546016,717.6049733140185
66.742237,722.644348,4.633,4.661,347.934299381988,64.06960139063479,723.5932112973204
