Distance,X,Y,Speed
338.0,-1086.361846762306,2636.128646810837,341.81495336869995
340.0,-1084.6695385371781,2655.695960663877,341.8901250231368
342.0,-1082.9771654103358,2675.272309401027,341.96529694712746
344.0,-1081.304655023764,2695.376410788076,342.0
346.0,-1079.6532478893553,2715.365050694906,342.0
348.0,-1078.0018407549464,2735.353690601736,342.0
350.0,-1076.3504336205376,2755.3423305085657,342.0
352.0,-1074.699026486129,2775.3309704153958,342.0
354.0,-1073.0476193517202,2795.3196103222253,342.0
356.0,-1071.3293437160612,2815.7755013028286,342.0
358.0,-1069.495045964787,2837.0421096928126,342.0
360.0,-1067.660748213513,2858.3087180827965,342.0
362.0,-1065.826450462239,2879.57532647278,342.0
364.0,-1063.992152710965,2900.841934862764,342.0
366.0,-1062.157854959691,2922.108543252748,342.0
368.0,-1060.3235572084168,2943.3751516427315,342.0
370.0,-1058.4892594571427,2964.6417600327154,342.0
372.0,-1056.6549617058686,2985.908368422699,342.0
374.0,-1054.7632351310986,3007.71075432034,342.02181718278973
376.0,-1052.7315686308164,3030.8186982974985,342.09679747686414
378.0,-1050.6999021305344,3053.9266422746573,342.1717777709386
380.0,-1048.6682356302524,3077.0345862518157,342.246758065013
382.0,-1046.6365691299702,3100.1425302289745,342.3217383590875
384.0,-1044.6049026296882,3123.250474206133,342.39671865316194
386.0,-1042.5732361294063,3146.3584181832916,342.47169894723635
388.0,-1040.5415696291243,3169.46636216045,342.5466792413108
390.0,-1038.4801081190483,3192.9563019026205,342.62165252030195
392.0,-1036.324928234298,3217.6477858791063,342.69660373377906
394.0,-1034.1697483495477,3242.339269855592,342.77155494725616
396.0,-1032.0145684647975,3267.0307538320785,342.8465061607333
398.0,-1029.8593885800474,3291.7222378085644,342.92145737421043
400.0,-1027.7042086952972,3316.4137217850503,342.99640858768754
402.0,-1025.4941433470544,3341.940673766382,343.0
404.0,-1023.2813157107146,3367.5096733715905,343.0
406.0,-1021.0684880743746,3393.0786729767983,343.0
408.0,-1018.8556604380348,3418.6476725820066,343.0
410.0,-1016.6428328016949,3444.216672187215,343.0
412.0,-1014.430005165355,3469.785671792423,343.0
414.0,-1012.2171775290152,3495.354671397631,343.0
416.0,-1010.0043498926754,3520.923671002839,343.0
418.0,-1007.7915222563354,3546.4926706080473,343.0
420.0,-1005.6759503274226,3571.0880601083245,343.04101581257135
422.0,-1003.6691971741534,3594.5940836230375,343.127923949862
424.0,-1001.6624440208843,3618.1001071377505,343.21483208715273
426.0,-999.6556908676152,3641.6061306524634,343.3017402244434
428.0,-997.6863087359211,3664.7303024109738,343.38863142094584
430.0,-995.8931769782029,3686.053573043494,343.475442720776
432.0,-994.1000452204846,3707.376843676014,343.56225402060625
434.0,-992.3069134627664,3728.7001143085336,343.6490653204364
436.0,-990.5137817050481,3750.0233849410533,343.7358766202666
438.0,-988.7206499473298,3771.3466555735736,343.8226879200968
440.0,-986.9275181896115,3792.6699262060934,343.909499219927
442.0,-985.1343864318933,3813.993196838613,343.99631051975723
444.0,-983.6099869757692,3832.4007120185374,344.0
446.0,-982.0975155852511,3850.6788072436466,344.0
448.0,-980.585044194733,3868.9569024687557,344.0
450.0,-979.0725728042149,3887.2349976938654,344.0
452.0,-977.5601014136969,3905.5130929189745,344.0
454.0,-976.0476300231787,3923.7911881440837,344.0
456.0,-974.5351586326607,3942.069283369193,344.0
458.0,-973.1162385637203,3959.1045031343688,344.02043202466444
460.0,-971.9026001436368,3973.4124549204726,344.08569847434677
462.0,-970.6889617235533,3987.7204067065763,344.15096492402904
464.0,-969.47532330347,4002.02835849268,344.21623137371137
466.0,-968.2616848833865,4016.3363102787835,344.2814978233937
468.0,-967.048046463303,4030.6442620648872,344.34676427307596
470.0,-965.8794053813572,4044.3399741875887,344.4120195139425
472.0,-964.995556520061,4054.1607661366415,344.47720381320056
474.0,-964.1117076587648,4063.9815580856944,344.54238811245864
476.0,-963.2278587974686,4073.802350034747,344.60757241171666
478.0,-962.3440099361724,4083.6231419838,344.67275671097474
480.0,-961.4601610748762,4093.443933932853,344.7379410102328
482.0,-960.57631221358,4103.264725881906,344.80312530949084
484.0,-959.6924633522838,4113.085517830958,344.8683096087489
486.0,-958.8086144909875,4122.906309780012,344.933493908007
488.0,-957.9247656296913,4132.727101729064,344.9986782072651
490.0,-956.2236433561693,4152.058532200567,345.0
492.0,-954.5056055853145,4171.586808890426,345.0
494.0,-952.7875678144597,4191.115085580284,345.0
496.0,-951.069530043605,4210.643362270143,345.0
498.0,-949.3514922727502,4230.1716389600015,345.0
